# ДАННЫЕ ДЛЯ АНАЛИЗА ЭВОЛЮЦИИ ВСЕЛЕННОЙ
# Формат: a, N, p, lambda, hbar, c, G, e, alpha, epsilon_0, mu_0, em_check, T, R, H, age
# Все величины в СИ
#
a	N	p	lambda	hbar	c	G	e	alpha_em	epsilon_0	mu_0	em_check	T	R	H	age	m_e	m_proton
7.906043e-12	2.079458e+80	9.635335e-02	1.980906e-06	3.865515e-19	7.653423e+08	8.721826e+09	5.005413e-21	1.113605e-02	6.010645e-31	2.840321e+12	1.000000e+00	2.727008e+07	8.793520e+19	8.703481e-12	1.148966e+11	4.531918e-15	5.289975e-11
3.556480e-11	6.728003e+82	9.299350e-02	2.405278e-06	3.818649e-20	6.530831e+08	2.504506e+08	8.312134e-21	1.080173e-02	2.027523e-29	1.156371e+11	1.000000e+00	1.241533e+07	1.931484e+20	3.381251e-12	2.957485e+11	4.398724e-16	4.154223e-12
1.599859e-10	2.176818e+85	8.975081e-02	2.842282e-06	3.983038e-21	5.726388e+08	8.937847e+06	1.273461e-20	1.048690e-02	5.360605e-28	5.688853e+09	1.000000e+00	5.500856e+06	4.359321e+20	1.313596e-12	7.612690e+11	4.507860e-17	3.539358e-13
7.196857e-10	7.043006e+87	8.662120e-02	3.287705e-06	4.335852e-22	5.129431e+08	3.784020e+05	1.831496e-20	1.018991e-02	1.170447e-26	3.247206e+08	1.000000e+00	2.385757e+06	1.005132e+21	5.103244e-13	1.959538e+12	4.821327e-18	3.215050e-14
3.237458e-09	2.278736e+90	8.360071e-02	3.738141e-06	4.884984e-23	4.674344e+08	1.838136e+04	2.503756e-20	9.909273e-03	2.191179e-25	2.088723e+07	1.000000e+00	1.017090e+06	2.357707e+21	1.982580e-13	5.043932e+12	5.336894e-19	3.074963e-15
1.456348e-08	7.372757e+92	8.068555e-02	4.190834e-06	5.660960e-24	4.320062e+08	9.994130e+02	3.283671e-20	9.643680e-03	3.616412e-24	1.481638e+06	1.000000e+00	4.275377e+05	5.608863e+21	7.702207e-14	1.298329e+13	6.076402e-20	3.067933e-16
6.551286e-08	2.385426e+95	7.787205e-02	4.643563e-06	6.715948e-25	4.039740e+08	5.968493e+01	4.160662e-20	9.391953e-03	5.374637e-23	1.140103e+05	1.000000e+00	1.776215e+05	1.350062e+22	2.992262e-14	3.341953e+13	7.082595e-21	3.170545e-17
2.947052e-07	7.717948e+97	7.515664e-02	5.094535e-06	8.126844e-26	3.815174e+08	3.858027e+00	5.121219e-20	9.153033e-03	7.312109e-22	9.395689e+03	1.000000e+00	7.306660e+04	3.281937e+22	1.162476e-14	8.602326e+13	8.420416e-22	3.375318e-18
1.325711e-06	2.497111e+100	7.253593e-02	5.542313e-06	1.000165e-26	3.633641e+08	2.668084e-01	6.149924e-20	8.925967e-03	9.226171e-21	8.209079e+02	1.000000e+00	2.980408e+04	8.045879e+22	4.516152e-15	2.214275e+14	1.018141e-22	3.685493e-19
5.963623e-06	8.079300e+102	7.000660e-02	5.985749e-06	1.248940e-27	3.486011e+08	1.955717e-02	7.230370e-20	8.709895e-03	1.091040e-19	7.542268e+01	1.000000e+00	1.206906e+04	1.986899e+23	1.754498e-15	5.699635e+14	1.249110e-23	4.112953e-20
2.682696e-05	2.614025e+105	6.756547e-02	6.423934e-06	1.579439e-28	3.365584e+08	1.507898e-03	8.345933e-20	8.504036e-03	1.219589e-18	7.238786e+00	1.000000e+00	4.856531e+03	4.937681e+23	6.816123e-16	1.467110e+15	1.551970e-24	4.677854e-21
1.206793e-04	8.457570e+107	6.520946e-02	6.856151e-06	2.019631e-29	3.267347e+08	1.215244e-04	9.480386e-20	8.307683e-03	1.297788e-17	7.217811e-01	1.000000e+00	1.943461e+03	1.233882e+24	2.648024e-16	3.776401e+15	1.949720e-25	5.409400e-22
5.428675e-04	2.736412e+110	6.293560e-02	7.281849e-06	2.607828e-30	3.187486e+08	1.018356e-05	1.061837e-19	8.120193e-03	1.322411e-16	7.442810e-02	1.000000e+00	7.739399e+02	3.098432e+24	1.028742e-16	9.720614e+15	2.473417e-26	6.347545e-23
2.442053e-03	8.853551e+112	6.074103e-02	7.700605e-06	3.396590e-31	3.123052e+08	8.834065e-07	1.174572e-19	7.940979e-03	1.296734e-15	7.906612e-03	1.000000e+00	3.068744e+02	7.814272e+24	3.996601e-17	2.502126e+16	3.165035e-27	7.545651e-24
1.098541e-02	2.864530e+115	5.862299e-02	8.112108e-06	4.458176e-32	3.071741e+08	7.903432e-08	1.284971e-19	7.769505e-03	1.228800e-14	8.624809e-04	1.000000e+00	1.212104e+02	1.978379e+25	1.552656e-17	6.440578e+16	4.081392e-28	9.074245e-25
4.941713e-02	9.268072e+117	5.657880e-02	8.516137e-06	5.892131e-33	3.031725e+08	7.268932e-09	1.391914e-19	7.605280e-03	1.129321e-13	9.633919e-05	1.000000e+00	4.771105e+01	5.026090e+25	6.031976e-18	1.657831e+17	5.299538e-29	1.102616e-25
2.222996e-01	2.998647e+120	5.460590e-02	8.912545e-06	7.835889e-34	3.001546e+08	6.853684e-10	1.494440e-19	7.447853e-03	1.009721e-12	1.099281e-05	1.000000e+00	1.872183e+01	1.280858e+26	2.343387e-18	4.267327e+17	6.924165e-30	1.352345e-26
1.000000e+00	9.702000e+122	5.270179e-02	9.301246e-06	1.047960e-34	2.980024e+08	6.608993e-11	1.591747e-19	7.296812e-03	8.806364e-12	1.278686e-06	1.000000e+00	7.325848e+00	3.273341e+26	9.103922e-19	1.098428e+18	9.097797e-31	1.672668e-27
